job_id,operation,file_size,output_size,execution_time
job_1557925066304_0001,word_Count,1888,120,592
job_1557925066304_0002,word_Count,9665,8101,748
job_1557925066304_0004,word_Count,2094,2054,624
job_1557925066304_0005,grep,2094,108,500
job_1557925066304_0006,sort,108,8,577
job_1557925066304_0007,word_Count,2094,2054,717
job_1557925066304_0008,grep,2094,107,546
job_1557925066304_0009,sort,107,7,593
job_1557925066304_0010,word_count,12689,10301,749
job_1557925066304_0011,grep,12689,119,498
job_1557925066304_0012,sort,119,19,437
job_1557925066304_0013,word_count,33910,10340,889
job_1557925066304_0014,grep,33910,112,670
job_1557925066304_0015,sort,112,12,451
job_1557925066304_0016,word_count,961,1005,482
job_1557925066304_0017,grep,961,107,482
job_1557925066304_0018,sort,107,7,544
job_1557925066304_0019,word_count,161,203,499
job_1557925066304_0020,grep,161,105,544
job_1557925066304_0021,sort,105,5,514
job_1557925066304_0022,word_count,3848,3239,638
job_1557925066304_0023,grep,3848,105,468
job_1557925066304_0024,sort,105,5,482
job_1557925066304_0026,word_count,2053,1949,653
job_1557925066304_0027,grep,2053,126,483
job_1557925066304_0028,sort,126,12,577
job_1557925066304_0029,word_count,10265,1996,700
job_1557925066304_0031,grep,10265,126,606
job_1557925066304_0031,sort,126,12,576
job_1557925066304_0022,word_count,52,58,561
job_1557925066304_0033,grep,52,86,639
job_1557925066304_0034,sor,86,0,435
job_1557925066304_0036,word_count,2105,2007,544
job_1557925066304_0037,grep,2105,106,576
job_1557925066304_0038,sort,106,6,466
job_1557925066304_0039,word_count,2105,2007,640
job_1557925066304_0040,word_count,18529,2054,610
job_1557925066304_0041,grep,18529,106,482
job_1557925066304_0042,sort,106,7,497
job_1557925066304_0043,word_count,10265,1996,747
job_1557925066304_0046,word_count,16598,2081,639
job_1557925066304_0047,grep,16598,106,545
job_1557925066304_0048,sort,106,7,514
job_1557925066304_0049,word_count,9356,7815,654
job_1557925066304_0050,grep,16598,86,576
job_1557925066304_0051,sort,86,0,530
job_1557925066304_0052,word_count,7929,6704,701
job_1557925066304_0053,grep,16598,107,562
job_1557925066304_0054,sort,107,7,436
job_1557925066304_0055,word_count,7929,6704,670
job_1557925066304_0057,grep,7929,107,466
job_1557925066304_0058,sort,107,8,561
job_1557925066304_0059,word_count,7929,6704,671
job_1557925066304_0060,grep,7929,107,544
job_1557925066304_0061,sort,107,8,639
job_1557925066304_0062,word_count,16598,2081,623
job_1557925066304_0063,grep,16598,107,560
job_1557925066304_0064,sort,107,7,577
job_1557925066304_0065,7929,6704,608
job_1557925066304_0066,grep,7929,107,577
job_1557925066304_0067,sort,107,8,700
job_1557925066304_0068,word_count,7929,6704,670
job_1557925066304_0070,grep,7929,109,702
job_1557925066304_0071,sort,109,9,561
job_1557925066304_0072,word_count,7929,6704,608
job_1557925066304_0073,grep,7929,109,577
job_1557925066304_0074,sort,109,9,515
job_1557925066304_0075,word_count,7929,6704,733
job_1557925066304_0077,grep,7929,109,592
job_1557925066304_0078,sort,109,9,638
job_1557925066304_0079,word_count,7929,6704,670
job_1557925066304_0080,grep,7929,109,561
job_1557925066304_0081,sort,109,9,562
job_1557925066304_0082,word_count,7929,6704
job_1557925066304_0083,grep,7929,107,545
job_1557925066304_0084,sort,107,7,514
job_1557925066304_0085,word_count,7929,6704,671
job_1557925066304_0086,grep,7929,107,623
