job_id,physical_memory,virtual_memory
job_1557925066304_0043,490434560,639614976
job_1557925066304_0046,486178816,635072512
job_1557925066304_0049,481120256,630116352
job_1557925066304_0052,486805504,636039168
job_1557925066304_0055,488099840,637784064
job_1557925066304_0059,489721856,638976000
job_1557925066304_0062,492142592,642486272
job_1557925066304_0065,488632320,636637184
job_1557925066304_0068,494530560,642420736
job_1557925066304_0072,486797312,637497344
job_1557925066304_0075,486207488,636416000
job_1557925066304_0079,493375488,641855488
job_1557925066304_0082,480182272,628277248
job_1557925066304_0085,489693184,639193088
job_1557925066304_0088,487178240,352321536
job_1557925066304_0091,486920192,635146240
job_1557925066304_0094,485724160,633892864
job_1557925066304_0097,480649216,628834304
job_1557925066304_0100,487419904,636121088
job_1557925066304_0103,486424576,635236352
job_1557925066304_0106,486973440,634499072
job_1557925066304_0110,489844736,638033920
job_1557925066304_0113,495128576,644665344
job_1557925066304_0116,486313984,634535936
job_1557925066304_0119,491659264,638726144
job_1557925066304_0122,493039616,641339392
job_1557925066304_0126,493432832,640651264
job_1557925066304_0129,487194624,635994112
job_1557925066304_0132,480022528,629288960
job_1557925066304_0135,488611840,637472768
job_1557925066304_0140,492728320,641253376
job_1557925066304_0143,487075840,635011072
job_1557925066304_0146,484265984,632922112
job_1557925066304_0149,484937728,633483264
job_1557925066304_0152,488259584,636338176
job_1557925066304_0155,495005696,643153920
job_1557925066304_0158,488542208,638140416
job_1557925066304_0161,486735872,634691584
job_1557925066304_0166,493256704,641744896
job_1557925066304_0169,488558592,636567552
job_1557925066304_0172,482439168,631582720
job_1557925066304_0176,494911488,643293184
job_1557925066304_0180,492716032,353894400
job_1557925066304_0183,481067008,629493760
job_1557925066304_0186,492838912,641630208
job_1557925066304_0190,496230400,644222976
job_1557925066304_0193,486363136,634855424
job_1557925066304_0196,480534528,629088256
